"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106071101","35.182542","128.125233","남강제지 앞","11.0","18.0","0.011","0.021","1.535","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106065003","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.022","1.116","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106052702","35.182542","128.125233","남강제지 앞","6.0","9.0","0.014","0.022","2.036","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106071802","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.021","1.707","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106051702","35.182542","128.125233","남강제지 앞","6.0","9.0","0.014","0.022","2.33","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106073402","35.182542","128.125233","남강제지 앞","5.0","8.0","0.011","0.021","1.839","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106065402","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.021","1.146","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106070902","35.182542","128.125233","남강제지 앞","12.0","20.0","0.011","0.021","1.481","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106055601","35.182542","128.125233","남강제지 앞","7.0","11.0","0.013","0.022","1.636","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106041601","35.182542","128.125233","남강제지 앞","6.0","10.0","0.016","0.022","2.758","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106080502","35.182542","128.125233","남강제지 앞","6.0","10.0","0.011","0.021","1.951","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106034601","35.182542","128.125233","남강제지 앞","5.0","8.0","0.017","0.022","3.452","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
